,Seed,Errors,Size,Safe
0,0,[],37,True
1,1,[],8,True
2,2,[],23,True
3,3,[],18,True
4,4,[],6,True
5,5,[],18,True
6,6,[],9,True
7,7,"[0, 1, 2, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0']",22,False
8,8,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",20,True
9,9,[],21,True
10,10,[],21,True
11,11,[],21,True
12,12,[],14,False
13,13,[],21,True
14,14,[],18,True
15,15,[],18,True
16,16,[],18,True
17,17,[],18,True
18,18,[],18,True
19,19,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",18,True
20,20,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
21,21,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",20,True
22,22,[],99,True
23,23,[],73,True
24,24,[],18,True
25,25,[],18,True
26,26,[],18,True
27,27,[],6,True
28,28,[],8,True
29,29,[],18,True
30,30,[],6,True
31,31,[],18,True
32,32,[],18,True
33,33,[],21,True
34,34,"[3, 4, 2]",89,False
35,35,[],6,True
36,36,[],63,False
37,37,[],8,True
38,38,[],8,True
39,39,[],41,True
40,40,[],25,True
41,41,[],18,True
42,42,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",18,True
43,43,[],6,True
44,44,[],20,False
45,45,[],17,True
46,46,[],17,True
47,47,[],20,False
48,48,[],18,True
49,49,"[5, 2]",22,False
50,50,[],6,True
51,51,[],26,True
52,52,[],8,True
53,53,[],18,True
54,54,[],6,True
55,55,[],29,True
56,56,"[6, 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",23,True
57,57,[],22,True
58,58,"[0, 1, 2, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0']",22,False
59,59,[],6,True
60,60,[],18,True
61,61,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
62,62,[],23,True
63,63,[],23,True
64,64,[],22,True
65,65,[],18,True
66,66,[],68,True
67,67,"[3, 7, 2]",19,True
68,68,[],6,True
69,69,[],18,True
70,70,[],18,True
71,71,[],20,False
72,72,[],18,True
73,73,[],18,True
74,74,[],18,True
75,75,[],6,True
