,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,30069,1e-06,0.000000,0.000001,153,-15463531533041664,3.894421100616455
1,30070,1e-06,0.000000,0.000001,0,-1,3.664124011993408
2,30071,1e-06,0.000000,0.000001,316951956331429886,-1575689772800671740,3.79571795463562
3,30073,1e-06,0.000000,0.000001,-61084,5,4.046134948730469
4,30074,1e-06,0.000000,0.000001,-6051711999279104,-4035225266123964414,3.75885272026062
5,30076,1e-06,0.000000,0.000001,2269814212194729985,-1,3.7165849208831787
6,30078,1e-06,0.000000,0.000001,0,1,3.8646738529205322
7,30079,1e-06,0.000000,0.000001,304,0,3.6997060775756836
8,30080,1e-06,0.000000,0.000001,0,40965266700,3.77852725982666
9,30081,1e-06,0.000000,0.000001,0,-47320692652,3.8490779399871826
10,30082,1e-06,0.000000,0.000001,0,3542047,3.777055025100708
11,30083,1e-06,0.000000,0.000001,36474595296935934,-176817464204591102,3.792249917984009
12,30084,1e-06,0.000000,0.000001,187452835748,-2125699024118874111,3.756889820098877
13,30085,1e-06,0.000000,0.000001,1,-2033709897367549,3.8987581729888916
14,30087,1e-06,0.000000,0.000001,-858,-5066549580791807,3.807739019393921
15,30088,1e-06,0.000000,0.000001,0,0,3.7649919986724854
16,30089,1e-06,0.000000,0.000001,241721355467,121,3.7585983276367188
17,30090,1e-06,0.000000,0.000001,-10358345742,17310835858946,3.6475019454956055
18,30091,1e-06,0.000000,0.000001,0,159971897507869,3.6862308979034424
19,30093,1e-06,0.000000,0.000001,-40565639074545,0,3.6631062030792236
20,30096,1e-06,0.000000,0.000001,-1,31980532644446208,3.737464666366577
21,30097,1e-06,0.000000,0.000001,5866104218030,-1,3.7921738624572754
22,30098,1e-06,0.000000,0.000001,109004580329173,81729742155451,3.7403347492218018
23,30099,1e-06,0.000000,0.000001,0,-6729,3.8548920154571533
24,30100,1e-06,0.000000,0.000001,-7383409761,0,3.6460258960723877
25,30101,1e-06,0.000000,0.000001,239927384144,0,3.738206148147583
26,30103,1e-06,0.000000,0.000001,-2438147912605695,0,3.6164021492004395
27,30104,1e-06,0.000000,0.000001,1,1,3.744825839996338
28,30105,1e-06,0.000000,0.000001,-1,-180,3.625361919403076
29,30107,1e-06,0.000000,0.000001,0,1,3.7523193359375
30,30108,1e-06,0.000000,0.000001,-1,1,3.7369191646575928
31,30109,1e-06,0.000000,0.000001,193588394114,-156,3.6294209957122803
32,30110,1e-06,0.000000,0.000001,1,16437516085,3.761080026626587
33,30111,1e-06,0.000000,0.000001,-13,0,3.649141788482666
34,30112,1e-06,0.000000,0.000001,-1,-301345961612437,3.783705949783325
35,30114,1e-06,0.000000,0.000001,-2799257,5188146770730811389,3.6295480728149414
36,30117,1e-06,0.000000,0.000001,27721256526675969,0,3.7907700538635254
