,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,30000,1e-06,0.000000,0.000001,2661269470,-1871666353,4.660376071929932
1,30001,1e-06,0.000000,0.000001,1,-156200196898817,4.102404594421387
2,30002,1e-06,0.000000,0.000001,0,35607984658554,5.025022029876709
3,30003,1e-06,0.000000,0.000001,1982337577743230966,1,4.646924257278442
4,30005,1e-06,0.000000,0.000001,1,-196771,5.757854700088501
5,30006,1e-06,0.000000,0.000001,-36700734032869,14503741019,5.787109851837158
6,30015,1e-06,0.000000,0.000001,406702121,-97691496898499,4.218398809432983
7,30016,1e-06,0.000000,0.000001,-1,13214,4.349247217178345
8,30019,1e-06,0.000000,0.000001,0,-87572286372708352,5.7770092487335205
9,30020,1e-06,0.000000,0.000001,-4050583,-88098766,5.01242995262146
10,30022,2e-06,0.000000,0.000002,11,-1,5.739779233932495
11,30023,0.0,0.000000,0.000000,-2169766,2033599298972,5.559245586395264
12,30025,1e-06,0.000000,0.000001,-1,-1,5.739503860473633
13,30028,1e-06,0.000000,0.000001,137070,67742124,5.335275173187256
14,30029,1e-06,0.000000,0.000001,-1,0,5.721343755722046
15,30030,2e-06,0.000000,0.000002,-6773413839565225993,61893152197240,5.599989652633667
16,30031,1e-06,0.000000,0.000001,576460752303423489,-106797088274,5.6462321281433105
17,30033,0.0,0.000000,0.000000,215659350590115,1661779736027,5.721246957778931
18,30037,1e-06,0.000000,0.000001,-63394521,2305843009213693951,5.834457635879517
19,30040,1e-06,0.000000,0.000001,195324089,1713445249,5.2195680141448975
20,30041,1e-06,0.000000,0.000001,1,0,5.7379796504974365
21,30043,1e-06,0.000000,0.000001,174682302439,-1,3.9184021949768066
22,30044,2e-06,0.000000,0.000002,0,0,4.89668869972229
23,30047,1e-06,0.000000,0.000001,4434615375692418,6935543426150563843,5.043953895568848
24,30048,1e-06,0.000000,0.000001,1,1360345562087424,4.395260810852051
25,30049,0.0,0.000000,0.000000,-48413731465335,0,5.018893003463745
26,30050,0.0,0.000000,0.000000,5101826297786,185651907526656,5.73529052734375
27,30051,1e-06,0.000000,0.000001,-380554168512806912,545386,5.76284384727478
28,30052,1e-06,0.000000,0.000001,3877314,8849798651308085,5.710256338119507
29,30053,1e-06,0.000000,0.000001,803375717523,1,5.791208505630493
30,30054,1e-06,0.000000,0.000001,-405226,-124,4.6993019580841064
31,30055,2e-06,0.000000,0.000002,-1168443267128112,17,5.752151966094971
32,30056,2e-06,0.000000,0.000002,436808705263009781,318858060,4.848290681838989
33,30057,1e-06,0.000000,0.000001,-1,10808844,4.0844926834106445
34,30058,1e-06,0.000000,0.000001,-262133,296376,4.237090349197388
35,30059,1e-06,0.000000,0.000001,68470760,-576460752303423489,5.349220037460327
36,30060,2e-06,0.000000,0.000002,59,5889492760101953,5.59539270401001
37,30061,0.0,0.000000,0.000000,-425246547033,175,4.802252292633057
38,30063,1e-06,0.000000,0.000001,0,-1,5.5730507373809814
39,30065,0.0,0.000000,0.000000,-246954,-60,5.715886116027832
40,30066,2e-06,0.000000,0.000002,-6988,-1383915612800899,5.058475494384766
41,30067,2e-06,0.000000,0.000002,1,1,3.8682289123535156
42,30069,2e-06,0.000000,0.000002,75368,89737,5.812908411026001
43,30070,1e-06,0.000000,0.000001,975,126203,4.98054051399231
44,30071,1e-06,0.000000,0.000001,1,-1352097,4.8136608600616455
45,30073,1e-06,0.000000,0.000001,-725496804669390847,0,5.303563356399536
46,30074,1e-06,0.000000,0.000001,-16160599530174,1713650200683,5.805915355682373
47,30076,1e-06,0.000000,0.000001,-33654709322101,-144481188008951793,5.739656925201416
48,30078,1e-06,0.000000,0.000001,0,-8731491728004,5.117766857147217
49,30079,1e-06,0.000000,0.000001,471998907,-226794,5.785045862197876
50,30080,1e-06,0.000000,0.000001,0,2305843009213693951,5.825513124465942
51,30081,1e-06,0.000000,0.000001,1,1,4.855382680892944
52,30082,1e-06,0.000000,0.000001,-10528785716050,-4377469409202,5.0167622566223145
53,30083,1e-06,0.000000,0.000001,1,51866092295,5.0655341148376465
54,30084,1e-06,0.000000,0.000001,0,-1123435451989,5.450532674789429
55,30085,1e-06,0.000000,0.000001,368035070283,204893613,5.100955486297607
56,30087,1e-06,0.000000,0.000001,-5904977,2177528760,5.774864673614502
57,30088,1e-06,0.000000,0.000001,680635,259359,5.74374532699585
58,30089,1e-06,0.000000,0.000001,49,-1,5.537891149520874
59,30090,2e-06,0.000000,0.000002,-110244,-51762978988064,5.769111394882202
60,30091,1e-06,0.000000,0.000001,-679439308296442,-1,5.64467191696167
61,30093,1e-06,0.000000,0.000001,-913241,-2118124971714081888,4.973570823669434
62,30096,1e-06,0.000000,0.000001,461953115904,47220290788108,5.416777610778809
63,30097,0.0,0.000000,0.000000,0,4611686018427387901,5.746813774108887
64,30098,1e-06,0.000000,0.000001,0,-6960662,4.802136659622192
65,30099,0.0,0.000000,0.000000,-1,15331770,5.07747483253479
66,30100,1e-06,0.000000,0.000001,0,-267902,4.007167100906372
67,30101,1e-06,0.000000,0.000001,292972422946099245,-1051542775922687,4.588847398757935
68,30103,1e-06,0.000000,0.000001,152729,8381837,5.77427077293396
69,30104,1e-06,0.000000,0.000001,-22,-2305843009213693951,5.901328086853027
70,30105,1e-06,0.000000,0.000001,-172554002712,55569507055614,5.50969672203064
71,30107,1e-06,0.000000,0.000001,-3423462886,0,5.796289443969727
72,30108,0.0,0.000000,0.000000,1,2305843009213693951,4.9580793380737305
73,30109,1e-06,0.000000,0.000001,-593504832058,-24044168804383,5.53949236869812
74,30110,1e-06,0.000000,0.000001,0,0,5.357601642608643
75,30111,1e-06,0.000000,0.000001,-7344457563,-1,5.762038946151733
76,30112,1e-06,0.000000,0.000001,-2707,6094,5.396640777587891
77,30114,1e-06,0.000000,0.000001,-19424158538107,13115232560564422,5.899035215377808
78,30117,3e-06,0.000000,0.000003,0,-393533371474,5.264321565628052
79,30118,1e-06,0.000000,0.000001,-250179516,-95344724,5.099766969680786
80,30119,1e-06,0.000000,0.000001,5589402544171384784,0,5.560102462768555
81,30120,1e-06,0.000000,0.000001,0,0,5.802316665649414
82,30121,1e-06,0.000000,0.000001,30943869449,1657324662872342531,5.425609350204468
83,30122,1e-06,0.000000,0.000001,-151629415170566,13975,5.633735179901123
84,30124,1e-06,0.000000,0.000001,-2291811844489215,0,5.210179328918457
85,30125,1e-06,0.000000,0.000001,-161273662402627,-12415312,5.752537727355957
86,30126,1e-06,0.000000,0.000001,-30,300713,5.561646223068237
87,30129,1e-06,0.000000,0.000001,1372245199026,1,5.408161163330078
88,30130,1e-06,0.000000,0.000001,-783610405,61200560,5.754810333251953
89,30131,0.0,0.000000,0.000000,0,0,5.736849308013916
90,30132,8e-06,0.000000,0.000008,-8847536758955871,768418411,4.919982194900513
91,30133,1e-06,0.000000,0.000001,234496154664959,1,5.727801322937012
92,30134,1e-06,0.000000,0.000001,-48933674732,0,5.017093658447266
93,30135,0.0,0.000000,0.000000,1990,-62928,5.5418477058410645
94,30136,1e-06,0.000000,0.000001,8124424750,-1246964267722,4.635324478149414
95,30138,1e-06,0.000000,0.000001,-583208050737152,-156273082853,5.381660223007202
