,Seed,Errors
0,0,"Register allocation: no register bank for type int
"
1,1,"Register allocation at line line 12 from line 37: variable v5.173 must be allocated to conflicting register ZF.78
"
2,2,"compilation error in functions f0 and f0 at position line 8: assembler error assemble_x86_opn : invalid instruction (check) CMP_64
PLEASE REPORT
"
3,7,"compilation error in functions f0 and f0 at position line 7: assembler error Invalid pexpr for word
PLEASE REPORT
"
4,8,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
5,12,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
6,16,"Register allocation: no register bank for type int
"
7,17,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
8,18,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
9,19,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
10,20,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
11,21,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
12,23,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (23-25): typing error: can not implicitly cast U128[5] into U64
"
13,24,"compilation error in functions f0 and f0 at position line 29: assembler error: invalid condition 
(~
((((32u) 1642) - RAX.41) <=u
((RAX.41 * ((32u) 9634)) * (- ((((32u) 5457) * RAX.41) * ((32u) 6737))))))
PLEASE REPORT
"
14,25,"Register allocation: no register bank for type int
"
15,28,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
16,29,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
17,33,"Register allocation: no register bank for type bool
"
18,34,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
19,36,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (23-25): typing error: can not implicitly cast U64[5] into U64
"
20,37,"Register allocation at line line 17 from line 58: variable result.177 must be allocated to conflicting register ZF.78
"
21,38,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
22,39,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
23,40,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
24,41,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 17 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
25,45,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
26,46,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
27,48,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
28,49,"Register allocation: no register bank for type int
"
29,51,"WARNING: CAN NOT FIND IINFO 1
Register allocation: no register bank for type int
"
30,52,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
31,53,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
32,54,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
33,55,"WARNING: CAN NOT FIND IINFO 1
Register allocation: no register bank for type int
"
34,56,"Register allocation: no register bank for type bool
"
35,57,"Register allocation: no register bank for type int
"
36,58,": line -1 (-1): variable v0.92 is an array (function argument)
"
37,62,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
38,63,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
39,64,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
40,65,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
41,66,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
42,67,"Register allocation: no register bank for type int
"
43,69,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
44,70,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
45,71,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
46,74,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 5 (8-10): typing error: the expression has type U64 instead of U64[5]
"
47,76,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (23-25): typing error: can not implicitly cast U8[5] into U64
"
48,77,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
49,79,"compilation error in functions f0 and f0 at position line 20: assembler error: invalid condition 
(~ ((~ ZF.78) && ZF.78))
PLEASE REPORT
"
50,80,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
51,81,"Register allocation: no register bank for type int
"
52,82,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
53,84,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
54,85,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
55,88,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 22 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
56,93,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U32 into U64
"
57,94,"Register allocation: no register bank for type bool
"
58,97,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
59,98,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
60,99,"at line line 4: can not allocate v0.98 into RAX.41, the variable is already allocated in RDI.48
"
61,100,"at line line 4: can not allocate v0.96 into RAX.41, the variable is already allocated in RDI.48
"
62,101,"Register allocation: no register bank for type bool
"
63,102,"Register allocation: no register bank for type int
"
64,103,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
65,104,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
66,105,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-1): parse error
"
67,106,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
68,107,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
